"fit","income_group","target_pop","hs_constraints","vaccine_doses","vaccine","max_coverage","age_groups_covered","age_groups_covered_d4","vacc_start","dt","repetition","seeding_cases","vacc_per_week","t_d3","vfr","vfr2","vfr_time1","vfr_time2","vfr2_time1","vfr2_time2","mu_ab_infection","max_ab","hosp_scal_vfr","ICU_scal_vfr","hosp_scal_vfr2","ICU_scal_vfr2","rt_out_filename","lambda_external_filename","omicron_vaccine","dose_4_fold_increase","age_groups_covered_d3","age_groups_covered_d5","age_groups_covered_d6","age_groups_covered_d7","age_groups_covered_d8","age_groups_covered_d9","t_d4","t_d5","t_d6","t_d7","t_d8","t_d9","scenario","name","strategy","mu_ab_d1","mu_ab_d2","k","dose_3_fold_increase","hl_s","hl_l","period_s","period_l","ab_50","ab_50_severe","std10"
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,1,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,1,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,2,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,2,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,3,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,3,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,4,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,4,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,5,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,5,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,6,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,6,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,7,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,7,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,8,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,8,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,9,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,9,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
"UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1","HIC",1e+06,"Absent",3,"Pfizer",0.9,15,2,"1/1/2021",0.25,10,10,0.05,227,5.6,5.6,"11/27/2021","12/31/2021","07/1/2022","07/31/2022",1.2,5,0.3,0.3,0.3,0.3,"rt_out_hic","lambda_external_hic",0,1.5,15,2,2,2,2,2,365,365,366,365,365,365,10,"rq1_hic","realistic",0.242577847458001,0.582536963337205,3.02009026580245,1.33244402649311,33.7067898580754,592.508191928997,80.3240781038681,364.836307611094,0.0679214462534934,0.0167846602432494,0.44
